School,MeasureID,Year,Category,Subgroup,N,ChronicAbsent,Value,Source,ValidationStatus,Note
City Middle/High,3.1,2024,Race,Two or More,59,28,47.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
City Middle/High,3.1,2024,FRL,Not FRL Eligible,692,151,21.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Learning Center,3.1,2024,Gender,Female,21,17,81.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Learning Center,3.1,2024,FRL,Not FRL Eligible,17,11,64.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Learning Center,3.1,2024,English Learner,Not English Learner,31,23,74.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Learning Center,3.1,2024,Special Education,Not Special Education,34,27,79.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Middle/High,3.1,2024,Gender,Male,180,88,48.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Middle/High,3.1,2024,Race,African American,64,31,48.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Middle/High,3.1,2024,FRL,FRL Eligible,143,75,52.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Middle/High,3.1,2024,English Learner,Not English Learner,300,140,46.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Middle/High,3.1,2024,Special Education,Not Special Education,281,124,44.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
City Middle/High,3.1,2024,English Learner,English Learner,29,4,13.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Middle/High,3.1,2024,Gender,Female,72,32,44.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Middle/High,3.1,2024,Race,Hispanic,35,19,54.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Middle/High,3.1,2024,FRL,FRL Eligible,79,41,51.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Middle/High,3.1,2024,English Learner,Not English Learner,169,76,45.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Middle/High,3.1,2024,Special Education,Not Special Education,146,64,43.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central High,3.1,2024,Gender,Male,207,136,65.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central High,3.1,2024,Race,Two or More,28,19,67.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central High,3.1,2024,Special Education,Special Education,71,53,74.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills High,3.1,2024,FRL,FRL Eligible,278,237,85.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills High,3.1,2024,Special Education,Special Education,66,53,80.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Middle/High,3.1,2024,Gender,Female,140,59,42.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Middle/High,3.1,2024,FRL,Not FRL Eligible,178,73,41.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
City Middle/High,3.1,2024,Race,White,508,111,21.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Middle/High,3.1,2024,Gender,Female,194,76,39.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Middle/High,3.1,2024,FRL,FRL Eligible,133,65,48.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Middle/High,3.1,2024,English Learner,English Learner,246,86,35.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Middle,3.1,2024,Race,African American,107,57,53.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central High,3.1,2024,Race,African American,133,108,81.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Middle/High,3.1,2024,Race,Hispanic,74,35,47.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Middle/High,3.1,2024,Race,White,135,56,41.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central High,3.1,2024,FRL,Not FRL Eligible,158,109,69.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills High,3.1,2024,Race,White,26,17,65.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Middle,3.1,2024,Gender,Male,244,124,50.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,English Learner,English Learner,358,244,68.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central High,3.1,2024,English Learner,English Learner,128,91,71.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills Middle School,3.1,2024,Gender,Female,169,142,84.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills Middle School,3.1,2024,Race,White,24,17,70.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southeast Career Pathways,3.1,2024,Gender,Female,23,20,87.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southeast Career Pathways,3.1,2024,Race,Hispanic,22,19,86.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southeast Career Pathways,3.1,2024,FRL,FRL Eligible,42,40,95.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southeast Career Pathways,3.1,2024,English Learner,English Learner,19,17,89.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southeast Career Pathways,3.1,2024,Special Education,Not Special Education,59,52,88.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills Middle School,3.1,2024,Race,Hispanic,71,51,71.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills Middle School,3.1,2024,FRL,Not FRL Eligible,53,33,62.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills High,3.1,2024,English Learner,English Learner,49,40,81.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills High,3.1,2024,Gender,Male,200,161,80.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Middle,3.1,2024,FRL,Not FRL Eligible,171,68,39.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Westwood,3.1,2024,Gender,Female,93,60,64.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Westwood,3.1,2024,Race,Two or More,20,15,75.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
City Middle/High,3.1,2024,Race,African American,83,28,33.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Middle/High,3.1,2024,Gender,Male,102,43,42.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Middle/High,3.1,2024,Race,White,86,29,33.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Middle/High,3.1,2024,FRL,Not FRL Eligible,98,37,37.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,Special Education,Special Education,88,74,84.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum High,3.1,2024,Gender,Male,127,58,45.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum High,3.1,2024,Race,Hispanic,60,33,55.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
University Preparatory Academy,3.1,2024,Race,Hispanic,197,61,31.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
University Preparatory Academy,3.1,2024,English Learner,English Learner,109,29,26.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills High,3.1,2024,Race,Hispanic,58,43,74.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Westwood,3.1,2024,Race,White,21,13,61.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,Race,Two or More,57,48,84.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central Middle School,3.1,2024,Gender,Male,120,69,57.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central Middle School,3.1,2024,Race,African American,136,90,66.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central Middle School,3.1,2024,FRL,FRL Eligible,187,121,64.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central Middle School,3.1,2024,English Learner,Not English Learner,187,124,66.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central Middle School,3.1,2024,Special Education,Special Education,68,36,52.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
University Preparatory Academy,3.1,2024,Race,White,29,13,44.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum Middle,3.1,2024,Gender,Female,81,32,39.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum Middle,3.1,2024,FRL,FRL Eligible,80,35,43.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Middle/High,3.1,2024,Special Education,Special Education,22,8,36.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Middle/High,3.1,2024,Special Education,Special Education,31,14,45.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central Middle School,3.1,2024,Gender,Female,117,75,64.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central Middle School,3.1,2024,Race,Two or More,25,17,68.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southeast Career Pathways,3.1,2024,Gender,Male,44,40,90.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum Middle,3.1,2024,Race,Hispanic,46,14,30.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum Middle,3.1,2024,English Learner,English Learner,19,6,31.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central Middle School,3.1,2024,Race,Hispanic,51,25,49.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Learning Center,3.1,2024,FRL,FRL Eligible,19,17,89.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,Race,White,62,45,72.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum High,3.1,2024,Race,African American,56,36,64.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum High,3.1,2024,FRL,FRL Eligible,97,56,57.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central Middle School,3.1,2024,FRL,Not FRL Eligible,50,23,46.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central Middle School,3.1,2024,English Learner,English Learner,50,20,40.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central Middle School,3.1,2024,Special Education,Not Special Education,169,108,63.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum Middle,3.1,2024,Race,White,61,16,26.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southeast Career Pathways,3.1,2024,English Learner,Not English Learner,48,43,89.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southeast Career Pathways,3.1,2024,FRL,Not FRL Eligible,25,20,80.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills Middle School,3.1,2024,English Learner,English Learner,63,42,66.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Middle/High,3.1,2024,Race,Two or More,39,23,59.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills Middle School,3.1,2024,Special Education,Special Education,76,58,76.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Middle/High,3.1,2024,Special Education,Special Education,40,24,60.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Middle/High,3.1,2024,Race,African American,39,25,64.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,Race,Asian,13,7,53.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southeast Career Pathways,3.1,2024,Race,African American,33,31,93.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Middle/High,3.1,2024,English Learner,English Learner,21,8,38.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
City Middle/High,3.1,2024,Race,Asian,58,7,12.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Middle,3.1,2024,Race,White,11,11,100.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Middle/High,3.1,2024,Race,African American,18,6,33.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central Middle School,3.1,2024,Race,White,24,12,50.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum High,3.1,2024,Special Education,Special Education,14,12,85.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum High,3.1,2024,English Learner,English Learner,22,9,40.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
University Preparatory Academy,3.1,2024,Special Education,Special Education,36,17,47.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum Middle,3.1,2024,Special Education,Special Education,10,3,30.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills High,3.1,2024,Race,Two or More,21,19,90.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills Middle School,3.1,2024,Race,Two or More,24,16,66.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Middle/High,3.1,2024,Race,Two or More,14,4,28.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central High,3.1,2024,Race,White,43,31,72.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Westwood,3.1,2024,FRL,Not FRL Eligible,58,31,53.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum Middle,3.1,2024,Race,Two or More,13,4,30.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum High,3.1,2024,Race,Two or More,21,10,47.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Learning Center,3.1,2024,Gender,Male,15,11,73.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Learning Center,3.1,2024,Race,African American,12,10,83.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Learning Center,3.1,2024,Race,Hispanic,12,10,83.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
